email,nazov_obce,url_obce
"starosta@bahon.sk","Bahon","https://www.taxinearme.sk"
"oubajany@zoznam.sk","Bajany","https://www.taxinearme.sk"
"ocu@bajc.sk","Bajc","https://www.taxinearme.sk"
"info@bajerov.sk","Bajerov","https://www.taxinearme.sk"
"obec@bajerovce.sk","Bajerovce","https://www.taxinearme.sk"
"obecbajka@gmail.com","Bajka","https://www.taxinearme.sk"
"referent@bajtava.sk","Bajtava","https://www.taxinearme.sk"
"urad@obecbaka.sk","Baka","https://www.taxinearme.sk"
"starosta@balaze.sk","Balaze","https://www.taxinearme.sk"
"obec.baldovce@gmail.com","Baldovce","https://www.taxinearme.sk"
"info@balognadiplom.sk","Balognadiplom","https://www.taxinearme.sk"
"info@obecbalon.sk","Balon","https://www.taxinearme.sk"
"ocubana@capur.net","Bana","https://www.taxinearme.sk"
"info@obecbanka.sk","Banka","https://www.taxinearme.sk"
"oubanov@banov.sk","Banov","https://www.taxinearme.sk"
"podatelna@banovce.sk","Banovcenadbebravou","https://www.taxinearme.sk"
"banovcenadondavou@gmail.com","Banovcenadondavou","https://www.taxinearme.sk"
"starosta@banskabela.sk","Banskabela","https://www.taxinearme.sk"
"kancelariaprimatora@banskabystrica.sk","Banskabystrica","https://www.taxinearme.sk"
"msu@banskastiavnica.sk","Banskastiavnica","https://www.taxinearme.sk"
"obecbanske@wmx.sk","Banske","https://www.taxinearme.sk"
"podatelna@banskystudenec.sk","Banskystudenec","https://www.taxinearme.sk"
"obecbara@gmail.com","Bara","https://www.taxinearme.sk"
"oubarca@post.sk","Barca","https://www.taxinearme.sk"
"primator@bardejov.sk,","Bardejov","https://www.taxinearme.sk"
"info@obecbardonovo.sk","Bardonovo","https://www.taxinearme.sk"
"info@bartosovalehotka.sk","Bartosovalehotka","https://www.taxinearme.sk"
"obec.bartosovce@wi-net.sk","Bartosovce","https://www.taxinearme.sk"
"urad@baska-obec.sk","Baska","https://www.taxinearme.sk"
"starosta@baskovce","Baskovce Kosice","https://www.taxinearme.sk"
"podatelna@obecbaskovce.sk","Baskovce","https://www.taxinearme.sk"
"obecnyurad@basovce.sk","Basovce","https://www.taxinearme.sk"
"obec@obecbatizovce.sk","Batizovce","https://www.taxinearme.sk"
"ocu.batka@rsnet.sk","Batka","https://www.taxinearme.sk"
"batorova@gmail.com","Batorova","https://www.taxinearme.sk"
"batorovekosihy@batorovekosihy.sk","Batorovekosihy","https://www.taxinearme.sk"
"obec@batovce.sk","Batovce","https://www.taxinearme.sk"
"beckov@obec-beckov.sk","Beckov","https://www.taxinearme.sk"
"obecbeharovce57@gmail.com","Beharovce","https://www.taxinearme.sk"
"becherov@pobox.sk","Becherov","https://www.taxinearme.sk"
"oubela@mail.viapvt.sk","Bela Novezamky","https://www.taxinearme.sk"
"sekretariat@bela.sk","Bela","https://www.taxinearme.sk"
"obec@beladulice.sk","Beladulice","https://www.taxinearme.sk"
"obecbelanadcirochou@gmail.com","Belanadcirochou","https://www.taxinearme.sk"
"podatelna@obecbeladice.sk","Beladice","https://www.taxinearme.sk"
"ocu.belin@post.sk","Belin","https://www.taxinearme.sk"
"obecbelina@centrum.sk","Belina","https://www.taxinearme.sk"
"obecbelince@obecbelince.sk","Belince","https://www.taxinearme.sk"
"obecbellova@gmail.sk","Bellovaves","https://www.taxinearme.sk"
"beloveza@gmail.com","Beloveza","https://www.taxinearme.sk"
"starosta@obecbeluj.sk","Beluj","https://www.taxinearme.sk"
"obec@belusa.sk","Belusa","https://www.taxinearme.sk"
"info@belza.dcom.sk","Belza","https://www.taxinearme.sk"
"oubenadikova@bnadikova.sk","Benadikova","https://www.taxinearme.sk"
"obecbenadikovce@gmail.com","Benadikovce","https://www.taxinearme.sk"
"benadovo@gmail.com","Benadovo","https://www.taxinearme.sk"
"benatina@lekosonline.sk","Benatina","https://www.taxinearme.sk"
"obecbeniakovce@centrum.sk","Beniakovce","https://www.taxinearme.sk"
"oubenice@gaya.sk","Benice","https://www.taxinearme.sk"
"info@obecbenkovce.sk","Benkovce","https://www.taxinearme.sk"
"obecbenus@gmail.com","Benus","https://www.taxinearme.sk"
"obec@bernolakovo.sk","Bernolakovo","https://www.taxinearme.sk"
"info@bertotovce.sk","Bertotovce","https://www.taxinearme.sk"
"obec.besa@zoznam.sk","Besa","https://www.taxinearme.sk"
"obecbesa@besa.sk","Besa Levice","https://www.taxinearme.sk"
"obec@besenov.sk","Besenov","https://www.taxinearme.sk"
"besenova@besenova.sk","Besenova","https://www.taxinearme.sk"
"podatelna@betlanovce.sk","Betlanovce","https://www.taxinearme.sk"
"obecbetliar@hotmail.com","Betliar","https://www.taxinearme.sk"
"oubezovce@lekosonline.sk","Bezovce","https://www.taxinearme.sk"
"obecbidovce@netkosice.sk","Bidovce","https://www.taxinearme.sk"
"ocubiel@gmail.com","Biel","https://www.taxinearme.sk"
"bielovce@bielovce.sk","Bielovce","https://www.taxinearme.sk"
"obec@bielykostol.sk","Bielykostol","https://www.taxinearme.sk"
"obecnyurad@bijacovce.sk","Bijacovce","https://www.taxinearme.sk"
"ou.b.humence@bmservis.sk","Bilkovehumence","https://www.taxinearme.sk"
"obecbina@obecbina.sk","Bina","https://www.taxinearme.sk"
"ocu@binovce.sk","Binovce","https://www.taxinearme.sk"
"obecbiskupice@gmail.com","Biskupice","https://www.taxinearme.sk"
"info@biskupova.sk","Biskupova","https://www.taxinearme.sk"
"starosta@obecbitarova.sk","Bitarova","https://www.taxinearme.sk"
"obecblahova@centrum.sk","Blahova","https://www.taxinearme.sk"
"obec@blatnanaostrove.sk","Blatnanaostrove","https://www.taxinearme.sk"
"blatnapolianka@lekosonline.sk","Blatnapolianka","https://www.taxinearme.sk"
"starosta@blatne.sk","Blatne","https://www.taxinearme.sk"
"blatneremety1@gmail.com","Blatneremety","https://www.taxinearme.sk"
"bl.revistia@minet.sk","Blatnerevistia","https://www.taxinearme.sk"
"info@blatnica.sk","Blatnica","https://www.taxinearme.sk"
"obecblazovce@gmail.com","Blazovce","https://www.taxinearme.sk"
"oublesovce@wircom.sk","Blesovce","https://www.taxinearme.sk"
"obec@blhovce.sk","Blhovce","https://www.taxinearme.sk"
"ou@bobot.sk","Bobot","https://www.taxinearme.sk"
"obecbobrov@obecbobrov.sk","Bobrov","https://www.taxinearme.sk"
"obec@bobrovcek.sk","Bobrovcek","https://www.taxinearme.sk"
"bobrovec@bobrovec.eu","Bobrovec","https://www.taxinearme.sk"
"obec@obecbobrovnik.sk","Bobrovnik","https://www.taxinearme.sk"
"info@bociar.sk","Bociar","https://www.taxinearme.sk"
"obecbodiky@zoznam.sk","Bodiky","https://www.taxinearme.sk"
"obecbodina@centrum.sk","Bodina","https://www.taxinearme.sk"
"bodorova@gaya.sk","Bodorova","https://www.taxinearme.sk"
"obecbodovce@wicom.sk","Bodovce","https://www.taxinearme.sk"
"obecbodruzal@gmail.com","Bodruzal","https://www.taxinearme.sk"
"bodza@real-net.sk","Bodza","https://www.taxinearme.sk"
"bodzianskeluky@gutanet.sk","Bodzianskeluky","https://www.taxinearme.sk"
"bohdanovce@azet.sk","Bohdanovce","https://www.taxinearme.sk"
"info@bohdanovce.sk","Bohdanovcenadtrnavou","https://www.taxinearme.sk"
"bohelov@real-net.sk","Bohelov","https://www.taxinearme.sk"
"podatelna@bohunice-lv.sk","Bohunice Levice","https://www.taxinearme.sk"
"info@obecbohunice.sk","Bohunice","https://www.taxinearme.sk"
"obecbohunovo@gmail.com","Bohunovo","https://www.taxinearme.sk"
"ocu@bojna.sk","Bojna","https://www.taxinearme.sk"
"info@bojnice.sk","Bojnice","https://www.taxinearme.sk"
"starosta@bojnicky.sk","Bojnicky","https://www.taxinearme.sk"
"ocu.bol@gmail.com","Bol","https://www.taxinearme.sk"
"starosta@boldog.sk","Boldog","https://www.taxinearme.sk"
"ocu.boleraz@boleraz.eu.sk","Boleraz","https://www.taxinearme.sk"
"info@bolesov.eu","Bolesov","https://www.taxinearme.sk"
"obecboliarov@netkosice.sk","Boliarov","https://www.taxinearme.sk"
"bolkovce@slovanet.sk","Bolkovce","https://www.taxinearme.sk"
"obec.borcova@gmail.com","Borcova","https://www.taxinearme.sk"
"obec@borcany.sk","Borcany","https://www.taxinearme.sk"
"urad@obecborcice.sk","Borcice","https://www.taxinearme.sk"
"obecny-urad-borinka@slovanet.sk","Borinka","https://www.taxinearme.sk"
"obecborka@gmail.com","Borka","https://www.taxinearme.sk"
"obec@borova.sk,","Borova","https://www.taxinearme.sk"
"starosta@borovce.sk","Borovce","https://www.taxinearme.sk"
"starosta@borskymikulas.sk","Borskymikulas","https://www.taxinearme.sk"
"obecbsj@centrum.sk","Borskysvatyjur","https://www.taxinearme.sk"
"obecborsa@dornet.sk","Borsa","https://www.taxinearme.sk"
"bory@bory.sk","Bory","https://www.taxinearme.sk"
"bosaca@bosaca.sk","Bosaca","https://www.taxinearme.sk"
"bosany@bosany.sk","Bosany","https://www.taxinearme.sk"
"obecbotany@gmail.com","Botany","https://www.taxinearme.sk"
"obecbottovo@gmail.com","Bottovo","https://www.taxinearme.sk"
"obecbracovce@centrum.sk","Bracovce","https://www.taxinearme.sk"
"starosta@obec-branc.sk","Branc","https://www.taxinearme.sk"
"obecbranovo@konfer.eu","Branovo","https://www.taxinearme.sk"
"miestnyurad@mc-cunovo.sk","Bratislavacunovo","https://www.taxinearme.sk"
"podatelna@devin.sk","Bratislavadevin","https://www.taxinearme.sk"
"mudnv@mudnv.sk","Bratislavadevinskanovaves","https://www.taxinearme.sk"
"info@dubravka.sk","Bratislavadubravka","https://www.taxinearme.sk"
"sluzbyobcanom@bratislava.sk","Bratislava","https://www.taxinearme.sk"
"info@jarovce.sk","Bratislavajarovce","https://www.taxinearme.sk"
"starostka@karlovaves.sk","Bratislavakarlovaves","https://www.taxinearme.sk"
"info@lamac.sk","Bratislavalamac","https://www.taxinearme.sk"
"podatelna@banm.sk","Bratislavanovemesto","https://www.taxinearme.sk"
"podnety@petrzalka.sk","Bratislavapetrzalka","https://www.taxinearme.sk"
"starosta@mupb.sk","Bratislavapodunajskebiskupice","https://www.taxinearme.sk"
"starosta@raca.sk","Bratislavaraca","https://www.taxinearme.sk"
"starosta@bratislava-rusovce.skcervenakova@bratislava-rusovce.sk","Bratislavarusovce","https://www.taxinearme.sk"
"ruzinov@ruzinov.sk","Bratislavaruzinov","https://www.taxinearme.sk"
"podatelna@staremesto.sk","Bratislavastaremesto","https://www.taxinearme.sk"
"vajnory@vajnory.sk","Bratislavavajnory","https://www.taxinearme.sk"
"vrakuna@vrakuna.sk","Bratislavavrakuna","https://www.taxinearme.sk"
"sekretariat@zahorskabystrica.sk","Bratislavazahorskabystrica","https://www.taxinearme.sk"
"obecbravacovo@bravacovo.sk","Bravacovo","https://www.taxinearme.sk"
"obec.brdarka@gmail.com","Brdarka","https://www.taxinearme.sk"
"obecbrehov@trenet.sk","Brehov","https://www.taxinearme.sk"
"brehy@brehy.sk","Brehy","https://www.taxinearme.sk"
"obec@brekov.sk","Brekov","https://www.taxinearme.sk"
"obecbrestov@minet.sk","Brestov","https://www.taxinearme.sk"
"obec@brestov.sk","Brestov Presov","https://www.taxinearme.sk"
"ou.brestovnadlaborcom@zoznam.sk","Brestovnadlaborcom","https://www.taxinearme.sk"
"oubrestovany@westcom.sk","Brestovany","https://www.taxinearme.sk"
"obec@brestovec.eu","Brestovec Komarno","https://www.taxinearme.sk"
"obec@brestovec.sk","Brestovec","https://www.taxinearme.sk"
"info@bretejovce.sk","Bretejovce","https://www.taxinearme.sk"
"obecbretka@centrum.sk","Bretka","https://www.taxinearme.sk"
"breza@orava.sk","Breza","https://www.taxinearme.sk"
"obecbrezany@obecbrezany.sk","Brezany","https://www.taxinearme.sk"
"info@obecbrezina.sk","Brezina","https://www.taxinearme.sk"
"breziny@breziny.sk","Breziny","https://www.taxinearme.sk"
"breznica.obec@gmail.com","Breznica","https://www.taxinearme.sk"
"starosta@obecbreznicka.sk","Breznicka","https://www.taxinearme.sk"
"obecbreznicka@gmail.com","Breznicka Stropkov","https://www.taxinearme.sk"
"primator@brezno.sk","Brezno","https://www.taxinearme.sk"
"brezolupyocu@gmail.com","Brezolupy","https://www.taxinearme.sk"
"brezovobec@gmail.com","Brezov","https://www.taxinearme.sk"
"mesto@brezova.sk","Brezovapodbradlom","https://www.taxinearme.sk"
"obecbrezovec1@gmail.com","Brezovec","https://www.taxinearme.sk"
"obec@brezovicanadtorysou.sk","Brezovica Sabinov","https://www.taxinearme.sk"
"oubrezovica@orava.sk","Brezovica","https://www.taxinearme.sk"
"brezovicka@livenet.sk","Brezovicka","https://www.taxinearme.sk"
"obec.brezovka@centrum.sk","Brezovka","https://www.taxinearme.sk"
"obecbrezany.po@gmail.com","Brezany Presov","https://www.taxinearme.sk"
"obec@brhlovce.sk","Brhlovce","https://www.taxinearme.sk"
"briestieobec@gmail.com","Briestie","https://www.taxinearme.sk"
"podatelna@brodske.sk","Brodske","https://www.taxinearme.sk"
"oubrodzany@brodzany.sk","Brodzany","https://www.taxinearme.sk"
"brunovce@brunovce.sk","Brunovce","https://www.taxinearme.sk"
"obecbrusnica@gmail.com","Brusnica","https://www.taxinearme.sk"
"obecbrusnik@gmail.com","Brusnik","https://www.taxinearme.sk"
"obec@brusno.sk","Brusno","https://www.taxinearme.sk"
"obec@brutovce.sk","Brutovce","https://www.taxinearme.sk"
"obec@bruty.sk","Bruty","https://www.taxinearme.sk"
"brvniste@brvniste.sk","Brvniste","https://www.taxinearme.sk"
"oubrzotin@obecbrzotin.sk","Brzotin","https://www.taxinearme.sk"
"obecbuclovany@gmail.com","Buclovany","https://www.taxinearme.sk"
"info@obecbuc.sk","Buc","https://www.taxinearme.sk"
"obec.bucany@gmail.com","Bucany","https://www.taxinearme.sk"
"obec@budca.sk","Budca","https://www.taxinearme.sk"
"ocubudikovany@gmail.com","Budikovany","https://www.taxinearme.sk"
"podatelna@obecbudimir.eu","Budimir","https://www.taxinearme.sk"
"obecbudina@tuhar.net","Budina","https://www.taxinearme.sk"
"obecbudince@centrum.sk","Budince","https://www.taxinearme.sk"
"sekretariat@obecbudis.sk","Budis","https://www.taxinearme.sk"
"obecbudkovce@centrum.sk","Budkovce","https://www.taxinearme.sk"
"starosta@budmerice.sk","Budmerice","https://www.taxinearme.sk"
"obecbuglovce@gmail.com","Buglovce","https://www.taxinearme.sk"
"obec@bukova.sk","Bukova","https://www.taxinearme.sk"
"obecbukovce@gmail.com","Bukovce","https://www.taxinearme.sk"
"ocu@bukovec.sk","Bukovec","https://www.taxinearme.sk"
"podatelna@bukovec.eu","Bukovec Myjava","https://www.taxinearme.sk"
"bukovina@gmail.com,","Bukovina","https://www.taxinearme.sk"
"bulhary@hotmail.com","Bulhary","https://www.taxinearme.sk"
"obecbunetice@centrum.sk","Bunetice","https://www.taxinearme.sk"
"obec@bunkovce.sk","Bunkovce","https://www.taxinearme.sk"
"oubusince@gonet.sk","Busince","https://www.taxinearme.sk"
"obec.busovce@neton.sk","Busovce","https://www.taxinearme.sk"
"buzica@obecbuzica.sk","Buzica","https://www.taxinearme.sk"
"obecbuzitka@gmail.com","Buzitka","https://www.taxinearme.sk"
"bystra@bystra.sk","Bystra","https://www.taxinearme.sk"
"obecbystrany@gmail.com","Bystrany","https://www.taxinearme.sk"
"ocu.bystre@slovanet.sk","Bystre","https://www.taxinearme.sk"
"obec@bystricany.sk","Bystricany","https://www.taxinearme.sk"
"bystricka@bystricka.sk","Bystricka","https://www.taxinearme.sk"
"obecbysta@centrum.sk","Bysta","https://www.taxinearme.sk"
"primator@bytca.sk","Bytca","https://www.taxinearme.sk"
"bzenica@bzenica.sk","Bzenica","https://www.taxinearme.sk"
"bzenov@onlinenet.sk","Bzenov","https://www.taxinearme.sk"
"starosta@obecbzince.sk","Bzincepodjavorinou","https://www.taxinearme.sk"
"info@bziny.eu","Bziny","https://www.taxinearme.sk"
"obecnyuradbzovik@gmail.com","Bzovik","https://www.taxinearme.sk"
"info@bzovskalehotka.sk","Bzovskalehotka","https://www.taxinearme.sk"
"obecbzany@gmail.com","Bzany","https://www.taxinearme.sk"
"obec@cabajcapor.sk","Cabajcapor","https://www.taxinearme.sk"
"cakov@gemernet.sk","Cakov","https://www.taxinearme.sk"
"obec.cejkov1@gmail.com","Cejkov","https://www.taxinearme.sk"
"cerninask@gmail.com","Cernina Svidnik","https://www.taxinearme.sk"
"cerova@obeccerova.sk","Cerova","https://www.taxinearme.sk"
"cerovo3@gmail.com","Cerovo","https://www.taxinearme.sk"
"cestice89@gmail.com","Cestice","https://www.taxinearme.sk"
"cifer@cifer.sk","Cifer","https://www.taxinearme.sk"
"podatelna@cigel.sk","Cigel","https://www.taxinearme.sk"
"obeccigelka@gmail.com","Cigelka","https://www.taxinearme.sk"
"obeccigla@gmail.com","Cigla","https://www.taxinearme.sk"
"obeccimenna@gmail.com","Cimenna","https://www.taxinearme.sk"
"ocucinobana@cinobana.sk","Cinobana","https://www.taxinearme.sk"
"info@obeccab.sk","Cab","https://www.taxinearme.sk"
"obeccabalovce@centrum.sk","Cabalovce","https://www.taxinearme.sk"
"sekretariat@cabiny.sk","Cabiny","https://www.taxinearme.sk"
"obec@cabradskyvrbovok.sk","Cabradskyvrbovok","https://www.taxinearme.sk"
"sekretariat@mestocadca.sk","Cadca","https://www.taxinearme.sk"
"obec@cachtice.sk","Cachtice","https://www.taxinearme.sk"
"info@obec-cajkov.sk","Cajkov","https://www.taxinearme.sk"
"caka@caka.eu","Caka","https://www.taxinearme.sk"
"info@cakajovce.sk","Cakajovce","https://www.taxinearme.sk"
"obeccakanovce@obeccakanovce.sk","Cakanovce","https://www.taxinearme.sk"
"obec@cakanovce.eu","Cakanovce Kosice","https://www.taxinearme.sk"
"podatelna@ocu.cakany.sk","Cakany","https://www.taxinearme.sk"
"ocu.caklov@gmail.com","Caklov","https://www.taxinearme.sk"
"ocucalovec@gutanet.sk","Calovec","https://www.taxinearme.sk"
"camovce@gmail.com","Camovce","https://www.taxinearme.sk"
"obeccana@centrum.sk","Cana","https://www.taxinearme.sk"
"obeccaradice@caradice.sk","Caradice","https://www.taxinearme.sk"
"info@cary.sk","Cary","https://www.taxinearme.sk"
"podatelna@casta.sk","Casta","https://www.taxinearme.sk"
"obeccastkov@centrum.sk","Castkov","https://www.taxinearme.sk"
"obec@castkovce.eu","Castkovce","https://www.taxinearme.sk"
"cata@nextra.sk","Cata","https://www.taxinearme.sk"
"starosta@cataj.sk","Cataj","https://www.taxinearme.sk"
"obec.cavoj@centrum.sk","Cavoj","https://www.taxinearme.sk"
"obec@cebovce.sk","Cebovce","https://www.taxinearme.sk"
"cecehov@cecehov.sk","Cecehov","https://www.taxinearme.sk"
"obec@cecejovce.sk","Cecejovce","https://www.taxinearme.sk"
"obec.cechy@komnet.sk","Cechy","https://www.taxinearme.sk"
"obec.cechynce@slovanet.sk","Cechynce","https://www.taxinearme.sk"
"info@cekovce.sk","Cekovce","https://www.taxinearme.sk"
"obecceladice@celadice.onmicrosoft.com","Celadice","https://www.taxinearme.sk"
"obec@celadince.sk","Celadince","https://www.taxinearme.sk"
"obec.celare@gmail.com","Celare","https://www.taxinearme.sk"
"obeccelkovalehota@azet.sk","Celkovalehota","https://www.taxinearme.sk"
"obeccelovce@gmail.com","Celovce","https://www.taxinearme.sk"
"celovce@nextra.sk","Celovce Presov","https://www.taxinearme.sk"
"obec.celovce@zoznam.sk","Celovce Trebisov","https://www.taxinearme.sk"
"sekretariat@cenkovce.sk","Cenkovce","https://www.taxinearme.sk"
"cerenany@cerenany.sk","Cerenany","https://www.taxinearme.sk"
"obec@cerencany.sk","Cerencany","https://www.taxinearme.sk"
"obeccerhov@zoznam.sk","Cerhov","https://www.taxinearme.sk"
"pavel.kmet@cerin.sk","Cerin","https://www.taxinearme.sk"
"obeccermany@zoznam.sk","Cermany","https://www.taxinearme.sk"
"starosta@obeccernik.eu","Cernik","https://www.taxinearme.sk"
"oucernina@gmail.com","Cernina","https://www.taxinearme.sk"
"starostkacernochov@gmail.com","Cernochov","https://www.taxinearme.sk"
"starosta@certizne.eu","Certizne","https://www.taxinearme.sk"
"obec@cervenavoda.sk","Cervenavoda","https://www.taxinearme.sk"
"obeccervenany@azet.sk","Cervenany","https://www.taxinearme.sk"
"cervenica@gmail.com","Cervenica","https://www.taxinearme.sk"
"info@cervenica.eu.sk","Cervenicaprisabinove","https://www.taxinearme.sk"
"cervenik@cervenik.sk","Cervenik","https://www.taxinearme.sk"
"obec@cervenyhradok.sk","Cervenyhradok","https://www.taxinearme.sk"
"ocuck@centrum.sk","Cervenykamen","https://www.taxinearme.sk"
"obecck@orangemail.sk","Cervenyklastor","https://www.taxinearme.sk"
"starosta@ceskebrezovo.sk","Ceskebrezovo","https://www.taxinearme.sk"
"cicarovce@sivinet.sk","Cicarovce","https://www.taxinearme.sk"
"obec@cicava.sk","Cicava","https://www.taxinearme.sk"
"obec@obeccicmany.info","Cicmany","https://www.taxinearme.sk"
"obecny.urad.cicov@gmail.com","Cicov","https://www.taxinearme.sk"
"oucierna@cierna.eu","Cierna","https://www.taxinearme.sk"
"obec@obecciernalehota.sk","Ciernalehota Kosice","https://www.taxinearme.sk"
"obec@ciernalehota.sk","Ciernalehota","https://www.taxinearme.sk"
"mesto@ciernanadtisou.sk","Ciernanadtisou","https://www.taxinearme.sk"
"ciernavoda@ciernavoda-nyek.sk","Ciernavoda","https://www.taxinearme.sk"
"sekretariat@obeccierne.sk","Cierne","https://www.taxinearme.sk"
"starosta@cierneklacany.sk","Cierneklacany","https://www.taxinearme.sk"
"info@ciernenadtoplou.sk","Ciernenadtoplou","https://www.taxinearme.sk"
"ciernepole@centrum.sk","Ciernepole","https://www.taxinearme.sk"
"ciernybalog@ciernybalog.sk","Ciernybalog","https://www.taxinearme.sk"
"obecciernybrod@ciernybrod.sk","Ciernybrod","https://www.taxinearme.sk"
"info@ciernypotok.sk","Ciernypotok","https://www.taxinearme.sk"
"starosta@cifare.sk","Cifare","https://www.taxinearme.sk"
"obec.radvan@gmail.com","Cilizskaradvan","https://www.taxinearme.sk"
"ocucimhova@stonline.sk","Cimhova","https://www.taxinearme.sk"
"obeccirc@gmail.com","Circ","https://www.taxinearme.sk"
"obec.ciz@gemernet.sk","Ciz","https://www.taxinearme.sk"
"obeccizatice@centrum.sk","Cizatice","https://www.taxinearme.sk"
"coltovo@gmail.com","Coltovo","https://www.taxinearme.sk"
"obec.cremosne@gmail.com","Cremosne","https://www.taxinearme.sk"
"info@obeccucma.sk","Cucma","https://www.taxinearme.sk"
"obeccukalovce@azet.sk","Cukalovce","https://www.taxinearme.sk"
"info@obecdacov.sk","Dacov","https://www.taxinearme.sk"
"ocudacovlom@zoznam.sk","Dacovlom","https://www.taxinearme.sk"
"obec.daletice@gmail.com","Daletice","https://www.taxinearme.sk"
"danisovce@obecdanisovce.eu","Danisovce","https://www.taxinearme.sk"
"danova@danova.sk","Danova","https://www.taxinearme.sk"
"sekretariat@obecdapalovce.sk","Dapalovce","https://www.taxinearme.sk"
"dargov@trenet.sk","Dargov","https://www.taxinearme.sk"
"ocudavidov@dknet.sk","Davidov","https://www.taxinearme.sk"
"adrianna.gergely.papp@debrad.sk","Debrad","https://www.taxinearme.sk"
"dedacov@pobox.sk","Dedacov","https://www.taxinearme.sk"
"ocu_dedinamladeze@gutanet.sk","Dedinamladeze","https://www.taxinearme.sk"
"dedinka@dedinka.sk","Dedinka","https://www.taxinearme.sk"
"ocu.dedinky@gmail.com","Dedinky","https://www.taxinearme.sk"
"obec@dechtice.sk","Dechtice","https://www.taxinearme.sk"
"starosta@dekys.sk","Dekys","https://www.taxinearme.sk"
"starosta@demandice.sk","Demandice","https://www.taxinearme.sk"
"info@demanovskadolina.info","Demanovskadolina","https://www.taxinearme.sk"
"obec@obecdemjata.sk","Demjata","https://www.taxinearme.sk"
"obec.detrik@gmail.com","Detrik","https://www.taxinearme.sk"
"sekretariat@detva.sk","Detva","https://www.taxinearme.sk"
"obec.dh@gmail.com","Detvianskahuta","https://www.taxinearme.sk"
"oudevicany@gmail.com","Devicany","https://www.taxinearme.sk"
"ocudevicie@gmail.com","Devicie","https://www.taxinearme.sk"
"obecdezerice@post.sk","Dezerice","https://www.taxinearme.sk"
"podatelna@diakova.sk","Diakova","https://www.taxinearme.sk"
"starosta@diakovce.sk","Diakovce","https://www.taxinearme.sk"
"ocu@diviacka.sk","Diviackanovaves","https://www.taxinearme.sk"
"obec@diviaky.sk","Diviakynadnitricou","https://www.taxinearme.sk"
"info@divin.sk","Divin","https://www.taxinearme.sk"
"starosta.divina@gmail.com","Divina","https://www.taxinearme.sk"
"obecdivinka@gmail.com","Divinka","https://www.taxinearme.sk"
"podatelna@dlha.sk","Dlha","https://www.taxinearme.sk"
"obec.dnk@gmail.com","Dlhanadkysucou","https://www.taxinearme.sk"
"dlhanadoravou@dlhanadoravou.sk","Dlhanadoravou","https://www.taxinearme.sk"
"obec@dlhanadvahom.sk","Dlhanadvahom","https://www.taxinearme.sk"
"obec.dlhaves@gmail.com","Dlhaves","https://www.taxinearme.sk"
"obec@dlheklcovo.sk","Dlheklacovo","https://www.taxinearme.sk"
"obec@dlhenadcirochou.sk","Dlhenadcirochou","https://www.taxinearme.sk"
"starostka@obecdlhepole.sk","Dlhepole","https://www.taxinearme.sk"
"obec@dlhestraze.sk","Dlhestraze","https://www.taxinearme.sk"
"obec.dlhona@gmail.com","Dlhona","https://www.taxinearme.sk"
"obecdlzin@mail.t-com.sk","Dlzin","https://www.taxinearme.sk"
"obecdobra@gmail.com","Dobra","https://www.taxinearme.sk"
"starosta@obecdobraniva.sk","Dobraniva","https://www.taxinearme.sk"
"dobravoda.starosta@gmail.com","Dobravoda","https://www.taxinearme.sk"
