obec,email_1,email_2,telefon,web,url
"Babie","podatelna.obecbabie@gmail.com","","0118630671","https://www.babie.ocu.sk","https://www.e-obce.sk/obec/babie/babie.html"
"Babin","obecbabin@orava.sk","starostababin@orava.sk","0118630671","https://www.babin.sk","https://www.e-obce.sk/obec/babin/babin.html"
"Babina","obec@babina.sk","starosta@babina.sk","0118630671","https://www.babina.sk","https://www.e-obce.sk/obec/babina/babina.html"
"Babindol","obec@babindol.sk","babindol@babindol.sk","0118630671","https://www.babindol.sk","https://www.e-obce.sk/obec/babindol/babindol.html"
"Babinec","babinec2010@gmail.com","ocu@babinec.info","0118630671","https://www.babinec.info","https://www.e-obce.sk/obec/babinec/babinec.html"
"Bacuch","info@bacuch.sk","starosta@bacuch.sk","0118630671","https://www.bacuch.sk","https://www.e-obce.sk/obec/bacuch/bacuch.html"
"Bacurov","bacurov@bacurov.sk","","0118630671","https://www.bacurov.sk","https://www.e-obce.sk/obec/bacurov/bacurov.html"
"Bac","urad@obecbac.sk","","0118630671","https://www.obecbac.sk","https://www.e-obce.sk/obec/bac/bac.html"
"Backa","obecbacka130@gmail.com","","0118630671","https://www.obecbacka.sk","https://www.e-obce.sk/obec/backa/backa.html"
"Backov","obecbackov@centrum.sk","","0118630671","","https://www.e-obce.sk/obec/backov/backov.html"
"Backovik","obecny.urad@backovik.sk","","0118630671","https://www.backovik.sk","https://www.e-obce.sk/obec/backovik/backovik.html"
"Badan","info@badan.sk","starostka@badan.sk","0118630671","https://www.badan.sk","https://www.e-obce.sk/obec/badan/badan.html"
"Badice","obecbadice@azet.sk","","0118630671","https://www.badice.sk","https://www.e-obce.sk/obec/badice/badice.html"
"Badin","badin@obecbadin.sk","starosta@obecbadin.sk","0118630671","https://www.obecbadin.sk","https://www.e-obce.sk/obec/badin/badin.html"
"Bahon","starosta@bahon.sk","","0118630671","https://www.bahon.sk","https://www.e-obce.sk/obec/bahon/bahon.html"
"Bajany","oubajany@zoznam.sk","oubajany@vknet.sk,","0118630671","https://www.bajany.sk","https://www.e-obce.sk/obec/bajany/bajany.html"
"Bajc","ocu@bajc.sk","","0118630671","https://www.bajc.sk","https://www.e-obce.sk/obec/bajc/bajc.html"
"Bajerov","info@bajerov.sk","","0118630671","https://www.bajerov.ocu.sk","https://www.e-obce.sk/obec/bajerov/bajerov.html"
"Bajerovce","obec@bajerovce.sk","","0118630671","https://www.bajerovce.sk","https://www.e-obce.sk/obec/bajerovce/bajerovce.html"
"Bajka","obecbajka@gmail.com","","0118630671","https://www.bajka.sk","https://www.e-obce.sk/obec/bajka/bajka.html"
"Bajtava","referent@bajtava.sk","ekonom@bajtava.sk","0118630671","https://www.bajtava.sk","https://www.e-obce.sk/obec/bajtava/bajtava.html"
"Baka","urad@obecbaka.sk","","0118630671","https://www.obecbaka.sk","https://www.e-obce.sk/obec/baka/baka.html"
"Balaze","starosta@balaze.sk","","0118630671","https://www.balaze.sk","https://www.e-obce.sk/obec/balaze/balaze.html"
"Baldovce","obec.baldovce@gmail.com","","0118630671","https://www.baldovce.dcom.sk","https://www.e-obce.sk/obec/baldovce/baldovce.html"
"Balognadiplom","info@balognadiplom.sk","obec@balognadiplom.sk","0118630671","https://www.balognadiplom.sk","https://www.e-obce.sk/obec/balognadiplom/balog-nad-iplom.html"
"Balon","info@obecbalon.sk","","0118630671","https://www.obecbalon.sk","https://www.e-obce.sk/obec/balon/balon.html"
"Bana","ocubana@capur.net","starosta@obecbana.sk","0118630671","https://https://obecbana.sk","https://www.e-obce.sk/obec/bana/bana.html"
"Banka","info@obecbanka.sk","starosta@obecbanka.sk","0118630671","https://www.obecbanka.sk","https://www.e-obce.sk/obec/banka/banka.html"
"Banov","oubanov@banov.sk","","0118630671","https://www.banov.sk","https://www.e-obce.sk/obec/banov/banov.html"
"Banovcenadbebravou","podatelna@banovce.sk","primator@banovce.sk","0118630671","https://www.banovce.sk","https://www.e-obce.sk/obec/banovcenadbebravou/banovce-nad-bebravou.html"
"Banovcenadondavou","banovcenadondavou@gmail.com","","0118630671","https://www.banovcenadondavou.sk","https://www.e-obce.sk/obec/banovcenadondavou/banovce-nad-ondavou.html"
"Banskabela","starosta@banskabela.sk","","0118630671","https://www.banskabela.sk","https://www.e-obce.sk/obec/banskabela/banska-bela.html"
"Banskabystrica","kancelariaprimatora@banskabystrica.sk","primator@banskabystrica.sk","0118630671","https://www.banskabystrica.sk","https://www.e-obce.sk/obec/banskabystrica/banska-bystrica.html"
"Banskastiavnica","msu@banskastiavnica.sk","nadezda.babiakova@banskastiavnica.sk","0118630671","https://www.banskastiavnica.sk","https://www.e-obce.sk/obec/banskastiavnica/banska-stiavnica.html"
"Banske","obecbanske@wmx.sk","","0118630671","https://www.obecbanske.sk","https://www.e-obce.sk/obec/banske/banske.html"
"Banskystudenec","podatelna@banskystudenec.sk","starosta@banskystudenec.sk","0118630671","https://www.banskystudenec.sk","https://www.e-obce.sk/obec/banskystudenec/bansky-studenec.html"
"Bara","obecbara@gmail.com","","0118630671","https://www.bara.ocu.sk","https://www.e-obce.sk/obec/bara/bara.html"
"Barca","oubarca@post.sk","","0118630671","https://www.obecbarca.webnode.sk","https://www.e-obce.sk/obec/barca/barca.html"
"Bardejov","primator@bardejov.sk,","","0118630671","https://www.bardejov.sk","https://www.e-obce.sk/obec/bardejov/bardejov.html"
"Bardonovo","info@obecbardonovo.sk","","0118630671","https://www.obecbardonovo.sk","https://www.e-obce.sk/obec/bardonovo/bardonovo.html"
"Bartosovalehotka","info@bartosovalehotka.sk","starosta@bartosovalehotka.sk","0118630671","https://www.bartosovalehotka.sk","https://www.e-obce.sk/obec/bartosovalehotka/bartosova-lehotka.html"
"Bartosovce","obec.bartosovce@wi-net.sk","podatelna.bartosovce@wi-net.sk","0118630671","https://www.obecbartosovce.sk","https://www.e-obce.sk/obec/bartosovce/bartosovce.html"
"Baska","urad@baska-obec.sk","","0118630671","https://www.baska-obec.sk","https://www.e-obce.sk/obec/baska/baska.html"
"Baskovce kosice","starosta@baskovce","","0118630671","https://www.baskovce.sk","https://www.e-obce.sk/obec/baskovce-kosice/baskovce.html"
"Baskovce","podatelna@obecbaskovce.sk","","0118630671","https://www.obecbaskovce.sk","https://www.e-obce.sk/obec/baskovce/baskovce.html"
"Basovce","obecnyurad@basovce.sk","","0118630671","https://www.basovce.sk","https://www.e-obce.sk/obec/basovce/basovce.html"
"Batizovce","obec@obecbatizovce.sk","","0118630671","https://www.obecbatizovce.sk","https://www.e-obce.sk/obec/batizovce/batizovce.html"
"Batka","ocu.batka@rsnet.sk","","0118630671","https://www.obecbatka.sk","https://www.e-obce.sk/obec/batka/batka.html"
"Batorova","batorova@gmail.com","starosta@batorova.sk","0118630671","https://www.batorova.sk","https://www.e-obce.sk/obec/batorova/batorova.html"
"Batorovekosihy","batorovekosihy@batorovekosihy.sk","starosta@batorovekosihy.sk","0118630671","https://www.batorovekosihy.sk","https://www.e-obce.sk/obec/batorovekosihy/batorove-kosihy.html"
"Batovce","obec@batovce.sk","starosta@batovce.sk","0118630671","https://http://batovce.e-obce.sk","https://www.e-obce.sk/obec/batovce/batovce.html"
"Beckov","beckov@obec-beckov.sk","starosta@obec-beckov.sk","0118630671","https://www.obec-beckov.sk","https://www.e-obce.sk/obec/beckov/beckov.html"
"Beharovce","obecbeharovce57@gmail.com","","0118630671","https://www.beharovce.sk","https://www.e-obce.sk/obec/beharovce/beharovce.html"
"Becherov","becherov@pobox.sk","","0118630671","https://www.obecbecherov.sk","https://www.e-obce.sk/obec/becherov/becherov.html"
"Bela novezamky","oubela@mail.viapvt.sk","","0118630671","https://www.obecbela.sk","https://www.e-obce.sk/obec/bela-novezamky/bela.html"
"Bela","sekretariat@bela.sk","starosta@bela.sk","0118630671","https://www.bela.sk","https://www.e-obce.sk/obec/bela/bela.html"
"Beladulice","obec@beladulice.sk","starosta@beladulice.sk","0118630671","https://www.beladulice.sk","https://www.e-obce.sk/obec/beladulice/bela---dulice.html"
"Belanadcirochou","obecbelanadcirochou@gmail.com","","0118630671","https://www.belanadcirochou.sk","https://www.e-obce.sk/obec/belanadcirochou/bela-nad-cirochou.html"
"Beladice","podatelna@obecbeladice.sk","","0118630671","https://www.obecbeladice.sk","https://www.e-obce.sk/obec/beladice/beladice.html"
"Belejovce","","","0118630671","","https://www.e-obce.sk/obec/belejovce/belejovce.html"
"Belin","ocu.belin@post.sk","obecnyuradbelin@gmail.com","0118630671","https://www.obecbelin.sk","https://www.e-obce.sk/obec/belin/belin.html"
"Belina","obecbelina@centrum.sk","","0118630671","https://www.obecbelina.webnode.sk","https://www.e-obce.sk/obec/belina/belina.html"
"Belince","obecbelince@obecbelince.sk","podatelna@obecbelince.sk","0118630671","https://www.obecbelince.sk","https://www.e-obce.sk/obec/belince/belince.html"
"Bellovaves","obecbellova@gmail.sk","","0118630671","https://www.bellovaves.sk","https://www.e-obce.sk/obec/bellovaves/bellova-ves.html"
"Beloveza","beloveza@gmail.com","","0118630671","https://www.beloveza.com","https://www.e-obce.sk/obec/beloveza/beloveza.html"
"Beluj","starosta@obecbeluj.sk","","0118630671","https://www.obecbeluj.sk","https://www.e-obce.sk/obec/beluj/beluj.html"
"Belusa","obec@belusa.sk","sekretariat@belusa.sk","0118630671","https://www.belusa.sk","https://www.e-obce.sk/obec/belusa/belusa.html"
"Belza","info@belza.dcom.sk","starosta@belza.dcom.sk","0118630671","https://www.belza.dcom.sk","https://www.e-obce.sk/obec/belza/belza.html"
"Benadikova","oubenadikova@bnadikova.sk","","0118630671","https://www.benadikova.sk","https://www.e-obce.sk/obec/benadikova/benadikova.html"
"Benadikovce","obecbenadikovce@gmail.com","","0118630671","https://www.benadikovce.sk","https://www.e-obce.sk/obec/benadikovce/benadikovce.html"
"Benadovo","benadovo@gmail.com","","0118630671","https://www.benadovo.eu","https://www.e-obce.sk/obec/benadovo/benadovo.html"
"Benatina","benatina@lekosonline.sk","","0118630671","https://www.benatina.ocu.sk","https://www.e-obce.sk/obec/benatina/benatina.html"
"Beniakovce","obecbeniakovce@centrum.sk","","0118630671","https://www.obecbeniakovce.sk","https://www.e-obce.sk/obec/beniakovce/beniakovce.html"
"Benice","oubenice@gaya.sk","benice@benice.sk","0118630671","https://www.benice.sk","https://www.e-obce.sk/obec/benice/benice.html"
"Benkovce","info@obecbenkovce.sk","","0118630671","https://www.obecbenkovce.sk","https://www.e-obce.sk/obec/benkovce/benkovce.html"
"Benus","obecbenus@gmail.com","obec@benus.sk","0118630671","https://www.benus.sk","https://www.e-obce.sk/obec/benus/benus.html"
"Bernolakovo","obec@bernolakovo.sk","starosta@bernolakovo.sk","0118630671","https://www.bernolakovo.sk","https://www.e-obce.sk/obec/bernolakovo/bernolakovo.html"
"Bertotovce","info@bertotovce.sk","starostabertotovce@gmail.com","0118630671","https://www.bertotovce.sk","https://www.e-obce.sk/obec/bertotovce/bertotovce.html"
"Besa","obec.besa@zoznam.sk","","0118630671","https://www.obecbesa.sk/starosta-obce","https://www.e-obce.sk/obec/besa/besa.html"
"Besa levice","obecbesa@besa.sk","cernak@besa-lv.dcom.sk","0118630671","https://www.besa.sk","https://www.e-obce.sk/obec/besa-levice/besa.html"
"Besenov","obec@besenov.sk","","0118630671","https://www.besenov.sk","https://www.e-obce.sk/obec/besenov/besenov.html"
"Besenova","besenova@besenova.sk","starosta@besenova.sk","0118630671","https://www.besenova.sk","https://www.e-obce.sk/obec/besenova/besenova.html"
"Betlanovce","podatelna@betlanovce.sk","starosta@betlanovce.sk","0118630671","https://www.betlanovce.sk","https://www.e-obce.sk/obec/betlanovce/betlanovce.html"
"Betliar","obecbetliar@hotmail.com","starosta@obecbetliar.sk","0118630671","https://www.obecbetliar.sk","https://www.e-obce.sk/obec/betliar/betliar.html"
"Bezovce","oubezovce@lekosonline.sk","","0118630671","https://www.bezovce.sk","https://www.e-obce.sk/obec/bezovce/bezovce.html"
"Bidovce","obecbidovce@netkosice.sk","","0118630671","https://www.bidovce.sk","https://www.e-obce.sk/obec/bidovce/bidovce.html"
"Biel","ocubiel@gmail.com","","0118630671","https://www.obecbiel.sk","https://www.e-obce.sk/obec/biel/biel.html"
"Bielovce","bielovce@bielovce.sk","","0118630671","https://www.bielovce.sk","https://www.e-obce.sk/obec/bielovce/bielovce.html"
"Bielykostol","obec@bielykostol.sk","starosta@bielykostol.sk","0118630671","https://www.bielykostol.sk","https://www.e-obce.sk/obec/bielykostol/biely-kostol.html"
"Bijacovce","obecnyurad@bijacovce.sk","starosta@bijacovce.sk","0118630671","https://www.bijacovce.sk","https://www.e-obce.sk/obec/bijacovce/bijacovce.html"
"Bilkovehumence","ou.b.humence@bmservis.sk","","0118630671","https://www.bilkovehumence.ocu.sk","https://www.e-obce.sk/obec/bilkovehumence/Bilkove-Humence.html"
"Bina","obecbina@obecbina.sk","starosta@obecbina.sk","0118630671","https://www.obecbina.sk","https://www.e-obce.sk/obec/bina/bina.html"
"Binovce","ocu@binovce.sk","starostka@binovce.sk","0118630671","https://www.binovce.sk","https://www.e-obce.sk/obec/binovce/binovce.html"
"Biskupice","obecbiskupice@gmail.com","","0118630671","https://www.obecbiskupice.sk  ","https://www.e-obce.sk/obec/biskupice/biskupice.html"
"Biskupova","info@biskupova.sk","","0118630671","https://www.biskupova.sk","https://www.e-obce.sk/obec/biskupova/biskupova.html"
"Bitarova","starosta@obecbitarova.sk","podatelna@obecbitarova.sk","0118630671","https://www.obecbitarova.sk","https://www.e-obce.sk/obec/bitarova/bitarova.html"
"Blahova","obecblahova@centrum.sk","","0118630671","https://www.blahova.dcom.sk","https://www.e-obce.sk/obec/blahova/blahova.html"
"Blatnanaostrove","obec@blatnanaostrove.sk","","0118630671","https://www.blatnanaostrove.sk","https://www.e-obce.sk/obec/blatnanaostrove/blatna-na-ostrove.html"
"Blatnapolianka","blatnapolianka@lekosonline.sk","","0118630671","https://www.blatnapolianka.sk","https://www.e-obce.sk/obec/blatnapolianka/blatna-polianka.html"
"Blatne","starosta@blatne.sk","ekonom@blatne.sk","0118630671","https://www.blatne.sk","https://www.e-obce.sk/obec/blatne/blatne.html"
"Blatneremety","blatneremety1@gmail.com","","0118630671","https://www.blatneremety.sk","https://www.e-obce.sk/obec/blatneremety/blatne-remety.html"
"Blatnerevistia","bl.revistia@minet.sk","","0118630671","https://www.blatnerevistia.sk","https://www.e-obce.sk/obec/blatnerevistia/blatne-revistia.html"
"Blatnica","info@blatnica.sk","starosta@blatnica.sk","0118630671","https://www.blatnica.sk","https://www.e-obce.sk/obec/blatnica/blatnica.html"
"Blazice","","","0118630671","https://www.blazice.sk","https://www.e-obce.sk/obec/blazice/blazice.html"
"Blazovce","obecblazovce@gmail.com","","0118630671","https://www.blazovce.dcom.sk","https://www.e-obce.sk/obec/blazovce/blazovce.html"
"Blesovce","oublesovce@wircom.sk","","0118630671","https://www.blesovce.sk","https://www.e-obce.sk/obec/blesovce/blesovce.html"
"Blhovce","obec@blhovce.sk","starosta@blhovce.sk","0118630671","https://www.blhovce.sk","https://www.e-obce.sk/obec/blhovce/blhovce.html"
"Bobot","ou@bobot.sk","starostka@bobot.sk","0118630671","https://www.bobot.sk","https://www.e-obce.sk/obec/bobot/bobot.html"
"Bobrov","obecbobrov@obecbobrov.sk","starosta@obecbobrov.sk","0118630671","https://www.obecbobrov.sk","https://www.e-obce.sk/obec/bobrov/bobrov.html"
"Bobrovcek","obec@bobrovcek.sk","","0118630671","https://www.bobrovcek.sk","https://www.e-obce.sk/obec/bobrovcek/bobrovcek.html"
"Bobrovec","bobrovec@bobrovec.eu","matrika@bobrovec.eu","0118630671","https://www.bobrovec.eu","https://www.e-obce.sk/obec/bobrovec/bobrovec.html"
"Bobrovnik","obec@obecbobrovnik.sk","jana.bazikova@ailco","0118630671","https://www.obecbobrovnik.sk","https://www.e-obce.sk/obec/bobrovnik/bobrovnik.html"
"Bociar","info@bociar.sk","","0118630671","https://www.bociar.sk","https://www.e-obce.sk/obec/bociar/bociar.html"
"Bodiky","obecbodiky@zoznam.sk","","0118630671","https://www.bodiky.sk","https://www.e-obce.sk/obec/bodiky/bodiky.html"
"Bodina","obecbodina@centrum.sk","podatelna@bodina.eu","0118630671","https://www.bodina.eu","https://www.e-obce.sk/obec/bodina/bodina.html"
"Bodorova","bodorova@gaya.sk","","0118630671","","https://www.e-obce.sk/obec/bodorova/bodorova.html"
"Bodovce","obecbodovce@wicom.sk","","0118630671","https://www.obecbodovce.sk","https://www.e-obce.sk/obec/bodovce/bodovce.html"
"Bodruzal","obecbodruzal@gmail.com","","0118630671","","https://www.e-obce.sk/obec/bodruzal/bodruzal.html"
"Bodza","bodza@real-net.sk","","0118630671","","https://www.e-obce.sk/obec/bodza/bodza.html"
"Bodzianskeluky","bodzianskeluky@gutanet.sk","","0118630671","https://www.bodzianskeluky.ocu.sk","https://www.e-obce.sk/obec/bodzianskeluky/bodzianske-luky.html"
"Bogliarka","","","0118630671","https://www.bogliarka.sk","https://www.e-obce.sk/obec/bogliarka/bogliarka.html"
"Bohdanovce","bohdanovce@azet.sk","","0118630671","https://www.bohdanovce-ke.sk","https://www.e-obce.sk/obec/bohdanovce/bohdanovce.html"
"Bohdanovcenadtrnavou","info@bohdanovce.sk","","0118630671","https://www.bohdanovce.sk","https://www.e-obce.sk/obec/bohdanovcenadtrnavou/bohdanovce-nad-trnavou.html"
"Bohelov","bohelov@real-net.sk","","0118630671","https://www.bohelov.sk","https://www.e-obce.sk/obec/bohelov/bohelov.html"
"Bohunice levice","podatelna@bohunice-lv.sk","","0118630671","https://www.bohunice-lv.sk","https://www.e-obce.sk/obec/bohunice-levice/bohunice.html"
"Bohunice","info@obecbohunice.sk","starosta@obecbohunice.sk","0118630671","https://www.obecbohunice.sk","https://www.e-obce.sk/obec/bohunice/bohunice.html"
"Bohunovo","obecbohunovo@gmail.com","","0118630671","https://www.bohunovo.sk","https://www.e-obce.sk/obec/bohunovo/bohunovo.html"
"Bojna","ocu@bojna.sk","starosta@bojna.sk","0118630671","https://www.bojna.sk","https://www.e-obce.sk/obec/bojna/bojna.html"
"Bojnice","info@bojnice.sk","primator@bojnice.sk","0118630671","https://www.bojnice.sk","https://www.e-obce.sk/obec/bojnice/bojnice.html"
"Bojnicky","starosta@bojnicky.sk","","0118630671","https://www.bojnicky.sk","https://www.e-obce.sk/obec/bojnicky/bojnicky.html"
"Bol","ocu.bol@gmail.com","","0118630671","https://www.bol.ocu.sk","https://www.e-obce.sk/obec/bol/bol.html"
"Boldog","starosta@boldog.sk","","0118630671","https://www.boldog.sk","https://www.e-obce.sk/obec/boldog/boldog.html"
"Boleraz","ocu.boleraz@boleraz.eu.sk","","0118630671","https://www.boleraz.eu","https://www.e-obce.sk/obec/boleraz/boleraz.html"
"Bolesov","info@bolesov.eu","starosta@bolesov.eu","0118630671","https://www.bolesov.eu","https://www.e-obce.sk/obec/bolesov/bolesov.html"
"Boliarov","obecboliarov@netkosice.sk","","0118630671","https://www.boliarov.sk","https://www.e-obce.sk/obec/boliarov/boliarov.html"
"Bolkovce","bolkovce@slovanet.sk","bolkovce2@gmail.com","0118630671","https://www.bolkovce.sk","https://www.e-obce.sk/obec/bolkovce/bolkovce.html"
"Borcova","obec.borcova@gmail.com","","0118630671","","https://www.e-obce.sk/obec/borcova/borcova.html"
"Borcany","obec@borcany.sk","","0118630671","https://www.borcany.sk","https://www.e-obce.sk/obec/borcany/borcany.html"
"Borcice","urad@obecborcice.sk","","0118630671","https://www.obecborcice.sk","https://www.e-obce.sk/obec/borcice/borcice.html"
"Borinka","obecny-urad-borinka@slovanet.sk","","0118630671","","https://www.e-obce.sk/obec/borinka/borinka.html"
"Borka","obecborka@gmail.com","","0118630671","https://www.obecborka.sk","https://www.e-obce.sk/obec/borka/borka.html"
"Borova","obec@borova.sk,","","0118630671","https://www.borova.sk","https://www.e-obce.sk/obec/borova/borova.html"
"Borovce","starosta@borovce.sk","info@borovce.sk","0118630671","https://www.borovce.sk","https://www.e-obce.sk/obec/borovce/borovce.html"
"Borskymikulas","starosta@borskymikulas.sk","","0118630671","https://www.borskymikulas.sk","https://www.e-obce.sk/obec/borskymikulas/Borsky-Mikulas.html"
"Borskysvatyjur","obecbsj@centrum.sk","starosta@borskysvatyjur.sk","0118630671","https://www.borskysvatyjur.sk","https://www.e-obce.sk/obec/borskysvatyjur/Borsky-Svaty-Jur.html"
"Borsa","obecborsa@dornet.sk","","0118630671","https://http://borsa.e-obce.sk","https://www.e-obce.sk/obec/borsa/borsa.html"
"Bory","bory@bory.sk","starosta@bory.sk","0118630671","https://www.bory.sk ","https://www.e-obce.sk/obec/bory/bory.html"
"Bosaca","bosaca@bosaca.sk","starosta@bosaca.sk","0118630671","https://www.bosaca.sk","https://www.e-obce.sk/obec/bosaca/bosaca.html"
"Bosany","bosany@bosany.sk","starosta@bosany.sk","0118630671","https://www.bosany.sk","https://www.e-obce.sk/obec/bosany/bosany.html"
"Botany","obecbotany@gmail.com","","0118630671","https://www.botany.ocu.sk","https://www.e-obce.sk/obec/botany/botany.html"
"Bottovo","obecbottovo@gmail.com","","0118630671","https://www.bottovo.sk","https://www.e-obce.sk/obec/bottovo/bottovo.html"
"Bracovce","obecbracovce@centrum.sk","","0118630671","https://www.bracovce.sk","https://www.e-obce.sk/obec/bracovce/bracovce.html"
"Branc","starosta@obec-branc.sk","","0118630671","https://www.branc.sk","https://www.e-obce.sk/obec/branc/branc.html"
"Branovo","obecbranovo@konfer.eu","","0118630671","https://www.branovo.sk","https://www.e-obce.sk/obec/branovo/branovo.html"
"Bratislavacunovo","miestnyurad@mc-cunovo.sk","cunovo@mc-cunovo.sk","0118630671","https://www.cunovo.eu","https://www.e-obce.sk/obec/bratislavacunovo/bratislava---cunovo---mestska-cast.html"
"Bratislavadevin","podatelna@devin.sk","starostka@devin.sk","0118630671","https://www.devin.sk","https://www.e-obce.sk/obec/bratislavadevin/bratislava---devin---mestska-cast.html"
"Bratislavadevinskanovaves","mudnv@mudnv.sk","starosta@mudnv.sk","0118630671","https://www.devinskanovaves.sk","https://www.e-obce.sk/obec/bratislavadevinskanovaves/bratislava---devinska-nova-ves---mestska-cast.html"
"Bratislavadubravka","info@dubravka.sk","starosta@dubravka.sk","0118630671","https://www.dubravka.sk","https://www.e-obce.sk/obec/bratislavadubravka/bratislava---dubravka---mestska-cast.html"
"Bratislava","sluzbyobcanom@bratislava.sk","hovorca@bratislava.sk","0118630671","https://www.bratislava.sk","https://www.e-obce.sk/obec/bratislava/bratislava---hlavne-mesto-slovenskej-republiky.html"
"Bratislavajarovce","info@jarovce.sk","starosta@jarovce.sk","0118630671","https://www.jarovce.sk","https://www.e-obce.sk/obec/bratislavajarovce/bratislava---jarovce---mestska-cast.html"
"Bratislavakarlovaves","starostka@karlovaves.sk","prednosta@karlovaves.sk","0118630671","https://www.karlovaves.sk","https://www.e-obce.sk/obec/bratislavakarlovaves/bratislava---karlova-ves----mestska-cast.html"
"Bratislavalamac","info@lamac.sk","starosta@lamac.sk","0118630671","https://www.lamac.sk","https://www.e-obce.sk/obec/bratislavalamac/bratislava---lamac---mestska-cast.html"
"Bratislavanovemesto","podatelna@banm.sk","prednosta@banm.sk","0118630671","https://www.banm.sk","https://www.e-obce.sk/obec/bratislavanovemesto/bratislava---nove-mesto---mestska-cast.html"
"Bratislavapetrzalka","podnety@petrzalka.sk","","0118630671","https://www.petrzalka.sk","https://www.e-obce.sk/obec/bratislavapetrzalka/bratislava---petrzalka---mestska-cast.html"
"Bratislavapodunajskebiskupice","starosta@mupb.sk","prednosta@mupb.sk","0118630671","https://www.biskupice.sk","https://www.e-obce.sk/obec/bratislavapodunajskebiskupice/bratislava---podunajske-biskupice---mestska-cast.html"
"Bratislavaraca","starosta@raca.sk","info@raca.sk","0118630671","https://www.raca.sk","https://www.e-obce.sk/obec/bratislavaraca/bratislava---raca---mestska-cast.html"
"Bratislavarusovce","starosta@bratislava-rusovce.skcervenakova@bratislava-rusovce.sk","","0118630671","https://www.bratislava-rusovce.sk","https://www.e-obce.sk/obec/bratislavarusovce/bratislava---rusovce---mestska-cast.html"
"Bratislavaruzinov","ruzinov@ruzinov.sk","starosta@ruzinov.sk","0118630671","https://www.ruzinov.sk","https://www.e-obce.sk/obec/bratislavaruzinov/bratislava---ruzinov---mestska-cast.html"
"Bratislavastaremesto","podatelna@staremesto.sk","starosta@staremesto.sk","0118630671","https://www.staremesto.sk","https://www.e-obce.sk/obec/bratislavastaremesto/bratislava---stare-mesto---mestska-cast.html"
"Bratislavavajnory","vajnory@vajnory.sk","starosta@vajnory.sk","0118630671","https://www.vajnory.sk","https://www.e-obce.sk/obec/bratislavavajnory/bratislava---vajnory---mestska-cast.html"
"Bratislavavrakuna","vrakuna@vrakuna.sk","starosta@vrakuna.sk","0118630671","https://www.vrakuna.sk","https://www.e-obce.sk/obec/bratislavavrakuna/bratislava---vrakuna---mestska-cast.html"
"Bratislavazahorskabystrica","sekretariat@zahorskabystrica.sk","starosta@zahorskabystrica.sk","0118630671","https://www.zahorskabystrica.sk","https://www.e-obce.sk/obec/bratislavazahorskabystrica/bratislava---zahorska-bystrica----mestska-cast.html"
"Bravacovo","obecbravacovo@bravacovo.sk","starosta@bravacovo.sk","0118630671","https://www.bravacovo.sk","https://www.e-obce.sk/obec/bravacovo/bravacovo.html"
"Brdarka","obec.brdarka@gmail.com","","0118630671","https://www.obecbrdarka.webnode.sk","https://www.e-obce.sk/obec/brdarka/brdarka.html"
