email,nazov_obce,okres,url_obce
"obec.baldovce@gmail.com","Baldovce","Levoča","https://www.taxinearme.sk/obec/baldovce"
"info@balognadiplom.sk","Balognadiplom","","https://www.taxinearme.sk/obec/balognadiplom"
"info@obecbalon.sk","Balon","","https://www.taxinearme.sk/obec/balon"
"ocubana@capur.net","Bana","","https://www.taxinearme.sk/obec/bana"
"info@obecbanka.sk","Banka","Piešťany","https://www.taxinearme.sk/obec/banka"
"oubanov@banov.sk","Banov","","https://www.taxinearme.sk/obec/banov"
"podatelna@banovce.sk","Banovcenadbebravou","","https://www.taxinearme.sk/obec/banovcenadbebravou"
"banovcenadondavou@gmail.com","Banovcenadondavou","","https://www.taxinearme.sk/obec/banovcenadondavou"
"starosta@banskabela.sk","Banskabela","","https://www.taxinearme.sk/obec/banskabela"
"kancelariaprimatora@banskabystrica.sk","Banskabystrica","","https://www.taxinearme.sk/obec/banskabystrica"
"msu@banskastiavnica.sk","Banskastiavnica","","https://www.taxinearme.sk/obec/banskastiavnica"
"obecbanske@wmx.sk","Banske","","https://www.taxinearme.sk/obec/banske"
"podatelna@banskystudenec.sk","Banskystudenec","","https://www.taxinearme.sk/obec/banskystudenec"
"obecbara@gmail.com","Bara","Trebišov","https://www.taxinearme.sk/obec/bara"
"oubarca@post.sk","Barca","Rimavská Sobota","https://www.taxinearme.sk/obec/barca"
"primator@bardejov.sk","Bardejov","Bardejov","https://www.taxinearme.sk/obec/bardejov"
"info@obecbardonovo.sk","Bardonovo","","https://www.taxinearme.sk/obec/bardonovo"
"info@bartosovalehotka.sk","Bartosovalehotka","","https://www.taxinearme.sk/obec/bartosovalehotka"
"obec.bartosovce@wi-net.sk","Bartosovce","","https://www.taxinearme.sk/obec/bartosovce"
"urad@baska-obec.sk","Baska","","https://www.taxinearme.sk/obec/baska"
"starosta@baskovce","Baskovce kosice","","https://www.taxinearme.sk/obec/baskovce-kosice"
"podatelna@obecbaskovce.sk","Baskovce","","https://www.taxinearme.sk/obec/baskovce"
"obecnyurad@basovce.sk","Basovce","","https://www.taxinearme.sk/obec/basovce"
"obec@obecbatizovce.sk","Batizovce","Poprad","https://www.taxinearme.sk/obec/batizovce"
"ocu.batka@rsnet.sk","Batka","","https://www.taxinearme.sk/obec/batka"
"batorova@gmail.com","Batorova","","https://www.taxinearme.sk/obec/batorova"
"batorovekosihy@batorovekosihy.sk","Batorovekosihy","","https://www.taxinearme.sk/obec/batorovekosihy"
"obec@batovce.sk","Batovce","","https://www.taxinearme.sk/obec/batovce"
"beckov@obec-beckov.sk","Beckov","Nové Mesto nad Váhom","https://www.taxinearme.sk/obec/beckov"
"obecbeharovce57@gmail.com","Beharovce","Levoča","https://www.taxinearme.sk/obec/beharovce"
"becherov@pobox.sk","Becherov","Bardejov","https://www.taxinearme.sk/obec/becherov"
"oubela@mail.viapvt.sk","Bela novezamky","","https://www.taxinearme.sk/obec/bela-novezamky"
"sekretariat@bela.sk","Bela","","https://www.taxinearme.sk/obec/bela"
"obec@beladulice.sk","Beladulice","","https://www.taxinearme.sk/obec/beladulice"
"obecbelanadcirochou@gmail.com","Belanadcirochou","","https://www.taxinearme.sk/obec/belanadcirochou"
"podatelna@obecbeladice.sk","Beladice","Zlaté Moravce","https://www.taxinearme.sk/obec/beladice"
"ocu.belin@post.sk","Belin","","https://www.taxinearme.sk/obec/belin"
"obecbelina@centrum.sk","Belina","Lučenec","https://www.taxinearme.sk/obec/belina"
"obecbelince@obecbelince.sk","Belince","Topoľčany","https://www.taxinearme.sk/obec/belince"
"obecbellova@gmail.sk","Bellovaves","","https://www.taxinearme.sk/obec/bellovaves"
"beloveza@gmail.com","Beloveza","","https://www.taxinearme.sk/obec/beloveza"
"starosta@obecbeluj.sk","Beluj","Banská Štiavnica","https://www.taxinearme.sk/obec/beluj"
"obec@belusa.sk","Belusa","","https://www.taxinearme.sk/obec/belusa"
"info@belza.dcom.sk","Belza","","https://www.taxinearme.sk/obec/belza"
"oubenadikova@bnadikova.sk","Benadikova","","https://www.taxinearme.sk/obec/benadikova"
"obecbenadikovce@gmail.com","Benadikovce","","https://www.taxinearme.sk/obec/benadikovce"
"benadovo@gmail.com","Benadovo","","https://www.taxinearme.sk/obec/benadovo"
"benatina@lekosonline.sk","Benatina","","https://www.taxinearme.sk/obec/benatina"
"obecbeniakovce@centrum.sk","Beniakovce","Košice-okolie","https://www.taxinearme.sk/obec/beniakovce"
"oubenice@gaya.sk","Benice","Martin","https://www.taxinearme.sk/obec/benice"
"info@obecbenkovce.sk","Benkovce","Vranov nad Topľou","https://www.taxinearme.sk/obec/benkovce"
"obecbenus@gmail.com","Benus","","https://www.taxinearme.sk/obec/benus"
"obec@bernolakovo.sk","Bernolakovo","","https://www.taxinearme.sk/obec/bernolakovo"
"info@bertotovce.sk","Bertotovce","Prešov","https://www.taxinearme.sk/obec/bertotovce"
"obec.besa@zoznam.sk","Besa","","https://www.taxinearme.sk/obec/besa"
"obecbesa@besa.sk","Besa levice","","https://www.taxinearme.sk/obec/besa-levice"
"obec@besenov.sk","Besenov","","https://www.taxinearme.sk/obec/besenov"
"besenova@besenova.sk","Besenova","","https://www.taxinearme.sk/obec/besenova"
"podatelna@betlanovce.sk","Betlanovce","Spišská Nová Ves","https://www.taxinearme.sk/obec/betlanovce"
"obecbetliar@hotmail.com","Betliar","Rožňava","https://www.taxinearme.sk/obec/betliar"
"oubezovce@lekosonline.sk","Bezovce","","https://www.taxinearme.sk/obec/bezovce"
"obecbidovce@netkosice.sk","Bidovce","Košice-okolie","https://www.taxinearme.sk/obec/bidovce"
"ocubiel@gmail.com","Biel","Trebišov","https://www.taxinearme.sk/obec/biel"
"bielovce@bielovce.sk","Bielovce","Levice","https://www.taxinearme.sk/obec/bielovce"
"obec@bielykostol.sk","Bielykostol","","https://www.taxinearme.sk/obec/bielykostol"
"obecnyurad@bijacovce.sk","Bijacovce","Levoča","https://www.taxinearme.sk/obec/bijacovce"
"ou.b.humence@bmservis.sk","Bilkovehumence","","https://www.taxinearme.sk/obec/bilkovehumence"
"obecbina@obecbina.sk","Bina","","https://www.taxinearme.sk/obec/bina"
"ocu@binovce.sk","Binovce","","https://www.taxinearme.sk/obec/binovce"
"obecbiskupice@gmail.com","Biskupice","Lučenec","https://www.taxinearme.sk/obec/biskupice"
"info@biskupova.sk","Biskupova","","https://www.taxinearme.sk/obec/biskupova"
"starosta@obecbitarova.sk","Bitarova","","https://www.taxinearme.sk/obec/bitarova"
"obecblahova@centrum.sk","Blahova","","https://www.taxinearme.sk/obec/blahova"
"obec@blatnanaostrove.sk","Blatnanaostrove","","https://www.taxinearme.sk/obec/blatnanaostrove"
"blatnapolianka@lekosonline.sk","Blatnapolianka","","https://www.taxinearme.sk/obec/blatnapolianka"
"starosta@blatne.sk","Blatne","","https://www.taxinearme.sk/obec/blatne"
"blatneremety1@gmail.com","Blatneremety","","https://www.taxinearme.sk/obec/blatneremety"
"bl.revistia@minet.sk","Blatnerevistia","","https://www.taxinearme.sk/obec/blatnerevistia"
"info@blatnica.sk","Blatnica","Martin","https://www.taxinearme.sk/obec/blatnica"
"obecblazovce@gmail.com","Blazovce","","https://www.taxinearme.sk/obec/blazovce"
"oublesovce@wircom.sk","Blesovce","Topoľčany","https://www.taxinearme.sk/obec/blesovce"
"obec@blhovce.sk","Blhovce","Rimavská Sobota","https://www.taxinearme.sk/obec/blhovce"
"ou@bobot.sk","Bobot","Trenčín","https://www.taxinearme.sk/obec/bobot"
"obecbobrov@obecbobrov.sk","Bobrov","Námestovo","https://www.taxinearme.sk/obec/bobrov"
"obec@bobrovcek.sk","Bobrovcek","","https://www.taxinearme.sk/obec/bobrovcek"
"bobrovec@bobrovec.eu","Bobrovec","Liptovský Mikuláš","https://www.taxinearme.sk/obec/bobrovec"
"obec@obecbobrovnik.sk","Bobrovnik","","https://www.taxinearme.sk/obec/bobrovnik"
"info@bociar.sk","Bociar","","https://www.taxinearme.sk/obec/bociar"
"obecbodiky@zoznam.sk","Bodiky","","https://www.taxinearme.sk/obec/bodiky"
"obecbodina@centrum.sk","Bodina","","https://www.taxinearme.sk/obec/bodina"
"bodorova@gaya.sk","Bodorova","","https://www.taxinearme.sk/obec/bodorova"
"obecbodovce@wicom.sk","Bodovce","Sabinov","https://www.taxinearme.sk/obec/bodovce"
"obecbodruzal@gmail.com","Bodruzal","","https://www.taxinearme.sk/obec/bodruzal"
"bodza@real-net.sk","Bodza","Komárno","https://www.taxinearme.sk/obec/bodza"
"bodzianskeluky@gutanet.sk","Bodzianskeluky","","https://www.taxinearme.sk/obec/bodzianskeluky"
"bohdanovce@azet.sk","Bohdanovce","Košice-okolie","https://www.taxinearme.sk/obec/bohdanovce"
"info@bohdanovce.sk","Bohdanovcenadtrnavou","","https://www.taxinearme.sk/obec/bohdanovcenadtrnavou"
"bohelov@real-net.sk","Bohelov","","https://www.taxinearme.sk/obec/bohelov"
"podatelna@bohunice-lv.sk","Bohunice levice","","https://www.taxinearme.sk/obec/bohunice-levice"
"info@obecbohunice.sk","Bohunice","Ilava","https://www.taxinearme.sk/obec/bohunice-ilava"
"obecbohunovo@gmail.com","Bohunovo","","https://www.taxinearme.sk/obec/bohunovo"
"ocu@bojna.sk","Bojna","","https://www.taxinearme.sk/obec/bojna"
"info@bojnice.sk","Bojnice","Prievidza","https://www.taxinearme.sk/obec/bojnice"
"starosta@bojnicky.sk","Bojnicky","","https://www.taxinearme.sk/obec/bojnicky"
"ocu.bol@gmail.com","Bol","","https://www.taxinearme.sk/obec/bol"
"starosta@boldog.sk","Boldog","Senec","https://www.taxinearme.sk/obec/boldog"
"ocu.boleraz@boleraz.eu.sk","Boleraz","","https://www.taxinearme.sk/obec/boleraz"
"info@bolesov.eu","Bolesov","","https://www.taxinearme.sk/obec/bolesov"
"obecboliarov@netkosice.sk","Boliarov","Košice-okolie","https://www.taxinearme.sk/obec/boliarov"
"bolkovce@slovanet.sk","Bolkovce","","https://www.taxinearme.sk/obec/bolkovce"
"obec.borcova@gmail.com","Borcova","","https://www.taxinearme.sk/obec/borcova"
"obec@borcany.sk","Borcany","","https://www.taxinearme.sk/obec/borcany"
"urad@obecborcice.sk","Borcice","","https://www.taxinearme.sk/obec/borcice"
"obecny-urad-borinka@slovanet.sk","Borinka","Malacky","https://www.taxinearme.sk/obec/borinka"
"obecborka@gmail.com","Borka","","https://www.taxinearme.sk/obec/borka"
"obec@borova.sk","Borova","","https://www.taxinearme.sk/obec/borova"
"starosta@borovce.sk","Borovce","Piešťany","https://www.taxinearme.sk/obec/borovce"
"starosta@borskymikulas.sk","Borskymikulas","","https://www.taxinearme.sk/obec/borskymikulas"
"obecbsj@centrum.sk","Borskysvatyjur","","https://www.taxinearme.sk/obec/borskysvatyjur"
"obecborsa@dornet.sk","Borsa","","https://www.taxinearme.sk/obec/borsa"
"bory@bory.sk","Bory","Levice","https://www.taxinearme.sk/obec/bory"
"bosaca@bosaca.sk","Bosaca","","https://www.taxinearme.sk/obec/bosaca"
"bosany@bosany.sk","Bosany","","https://www.taxinearme.sk/obec/bosany"
"obecbotany@gmail.com","Botany","","https://www.taxinearme.sk/obec/botany"
"obecbottovo@gmail.com","Bottovo","Rimavská Sobota","https://www.taxinearme.sk/obec/bottovo"
"obecbracovce@centrum.sk","Bracovce","Michalovce","https://www.taxinearme.sk/obec/bracovce"
"starosta@obec-branc.sk","Branc","","https://www.taxinearme.sk/obec/branc"
"obecbranovo@konfer.eu","Branovo","Nové Zámky","https://www.taxinearme.sk/obec/branovo"
"miestnyurad@mc-cunovo.sk","Bratislavacunovo","","https://www.taxinearme.sk/obec/bratislavacunovo"
"podatelna@devin.sk","Bratislavadevin","","https://www.taxinearme.sk/obec/bratislavadevin"
"mudnv@mudnv.sk","Bratislavadevinskanovaves","","https://www.taxinearme.sk/obec/bratislavadevinskanovaves"
"info@dubravka.sk","Bratislavadubravka","","https://www.taxinearme.sk/obec/bratislavadubravka"
"sluzbyobcanom@bratislava.sk","Bratislava","","https://www.taxinearme.sk/obec/bratislava"
"info@jarovce.sk","Bratislavajarovce","","https://www.taxinearme.sk/obec/bratislavajarovce"
"starostka@karlovaves.sk","Bratislavakarlovaves","","https://www.taxinearme.sk/obec/bratislavakarlovaves"
"info@lamac.sk","Bratislavalamac","","https://www.taxinearme.sk/obec/bratislavalamac"
"podatelna@banm.sk","Bratislavanovemesto","","https://www.taxinearme.sk/obec/bratislavanovemesto"
"podnety@petrzalka.sk","Bratislavapetrzalka","","https://www.taxinearme.sk/obec/bratislavapetrzalka"
"starosta@mupb.sk","Bratislavapodunajskebiskupice","","https://www.taxinearme.sk/obec/bratislavapodunajskebiskupice"
"starosta@raca.sk","Bratislavaraca","","https://www.taxinearme.sk/obec/bratislavaraca"
"starosta@bratislava-rusovce.skcervenakova@bratislava-rusovce.sk","Bratislavarusovce","","https://www.taxinearme.sk/obec/bratislavarusovce"
"ruzinov@ruzinov.sk","Bratislavaruzinov","","https://www.taxinearme.sk/obec/bratislavaruzinov"
"podatelna@staremesto.sk","Bratislavastaremesto","","https://www.taxinearme.sk/obec/bratislavastaremesto"
"vajnory@vajnory.sk","Bratislavavajnory","","https://www.taxinearme.sk/obec/bratislavavajnory"
"vrakuna@vrakuna.sk","Bratislavavrakuna","","https://www.taxinearme.sk/obec/bratislavavrakuna"
"sekretariat@zahorskabystrica.sk","Bratislavazahorskabystrica","","https://www.taxinearme.sk/obec/bratislavazahorskabystrica"
"obecbravacovo@bravacovo.sk","Bravacovo","","https://www.taxinearme.sk/obec/bravacovo"
"obec.brdarka@gmail.com","Brdarka","","https://www.taxinearme.sk/obec/brdarka"
"obecbrehov@trenet.sk","Brehov","Trebišov","https://www.taxinearme.sk/obec/brehov"
"brehy@brehy.sk","Brehy","Žarnovica","https://www.taxinearme.sk/obec/brehy"
"obec@brekov.sk","Brekov","Humenné","https://www.taxinearme.sk/obec/brekov"
"obecbrestov@minet.sk","Brestov","Humenné","https://www.taxinearme.sk/obec/brestov-humenne"
"obec@brestov.sk","Brestov presov","","https://www.taxinearme.sk/obec/brestov-presov"
"ou.brestovnadlaborcom@zoznam.sk","Brestovnadlaborcom","","https://www.taxinearme.sk/obec/brestovnadlaborcom"
"oubrestovany@westcom.sk","Brestovany","Trnava","https://www.taxinearme.sk/obec/brestovany"
"obec@brestovec.eu","Brestovec komarno","","https://www.taxinearme.sk/obec/brestovec-komarno"
"obec@brestovec.sk","Brestovec","Myjava","https://www.taxinearme.sk/obec/brestovec-myjava"
"info@bretejovce.sk","Bretejovce","Prešov","https://www.taxinearme.sk/obec/bretejovce"
"obecbretka@centrum.sk","Bretka","Rožňava","https://www.taxinearme.sk/obec/bretka"
"breza@orava.sk","Breza","Námestovo","https://www.taxinearme.sk/obec/breza"
"obecbrezany@obecbrezany.sk","Brezany","Žilina","https://www.taxinearme.sk/obec/brezany-zilina"
"info@obecbrezina.sk","Brezina","Trebišov","https://www.taxinearme.sk/obec/brezina"
"breziny@breziny.sk","Breziny","Zvolen","https://www.taxinearme.sk/obec/breziny"
"breznica.obec@gmail.com","Breznica","Stropkov","https://www.taxinearme.sk/obec/breznica"
"starosta@obecbreznicka.sk","Breznicka","","https://www.taxinearme.sk/obec/breznicka"
"obecbreznicka@gmail.com","Breznicka stropkov","","https://www.taxinearme.sk/obec/breznicka-stropkov"
"primator@brezno.sk","Brezno","Brezno","https://www.taxinearme.sk/obec/brezno"
"brezolupyocu@gmail.com","Brezolupy","Bánovce nad Bebravou","https://www.taxinearme.sk/obec/brezolupy"
"brezovobec@gmail.com","Brezov","Bardejov","https://www.taxinearme.sk/obec/brezov"
"mesto@brezova.sk","Brezovapodbradlom","","https://www.taxinearme.sk/obec/brezovapodbradlom"
"obecbrezovec1@gmail.com","Brezovec","Snina","https://www.taxinearme.sk/obec/brezovec"
"obec@brezovicanadtorysou.sk","Brezovica sabinov","","https://www.taxinearme.sk/obec/brezovica-sabinov"
"oubrezovica@orava.sk","Brezovica","Sabinov","https://www.taxinearme.sk/obec/brezovica-sabinov"
"brezovicka@livenet.sk","Brezovicka","","https://www.taxinearme.sk/obec/brezovicka"
"obec.brezovka@centrum.sk","Brezovka","Bardejov","https://www.taxinearme.sk/obec/brezovka"
"obecbrezany.po@gmail.com","Brezany presov","","https://www.taxinearme.sk/obec/brezany-presov"
"obec@brhlovce.sk","Brhlovce","Levice","https://www.taxinearme.sk/obec/brhlovce"
"briestieobec@gmail.com","Briestie","","https://www.taxinearme.sk/obec/briestie"
"podatelna@brodske.sk","Brodske","","https://www.taxinearme.sk/obec/brodske"
"oubrodzany@brodzany.sk","Brodzany","Partizánske","https://www.taxinearme.sk/obec/brodzany"
"brunovce@brunovce.sk","Brunovce","Nové Mesto nad Váhom","https://www.taxinearme.sk/obec/brunovce"
"obecbrusnica@gmail.com","Brusnica","Stropkov","https://www.taxinearme.sk/obec/brusnica"
"obecbrusnik@gmail.com","Brusnik","","https://www.taxinearme.sk/obec/brusnik"
"obec@brusno.sk","Brusno","Banská Bystrica","https://www.taxinearme.sk/obec/brusno"
"obec@brutovce.sk","Brutovce","Levoča","https://www.taxinearme.sk/obec/brutovce"
"obec@bruty.sk","Bruty","Nové Zámky","https://www.taxinearme.sk/obec/bruty"
"brvniste@brvniste.sk","Brvniste","","https://www.taxinearme.sk/obec/brvniste"
"oubrzotin@obecbrzotin.sk","Brzotin","","https://www.taxinearme.sk/obec/brzotin"
"obecbuclovany@gmail.com","Buclovany","Bardejov","https://www.taxinearme.sk/obec/buclovany"
"info@obecbuc.sk","Buc","","https://www.taxinearme.sk/obec/buc"
"obec.bucany@gmail.com","Bucany","","https://www.taxinearme.sk/obec/bucany"
"obec@budca.sk","Budca","","https://www.taxinearme.sk/obec/budca"
"ocubudikovany@gmail.com","Budikovany","Rimavská Sobota","https://www.taxinearme.sk/obec/budikovany"
"podatelna@obecbudimir.eu","Budimir","","https://www.taxinearme.sk/obec/budimir"
"obecbudina@tuhar.net","Budina","","https://www.taxinearme.sk/obec/budina"
"obecbudince@centrum.sk","Budince","Michalovce","https://www.taxinearme.sk/obec/budince"
"sekretariat@obecbudis.sk","Budis","","https://www.taxinearme.sk/obec/budis"
"obecbudkovce@centrum.sk","Budkovce","Michalovce","https://www.taxinearme.sk/obec/budkovce"
"starosta@budmerice.sk","Budmerice","Pezinok","https://www.taxinearme.sk/obec/budmerice"
"obecbuglovce@gmail.com","Buglovce","Levoča","https://www.taxinearme.sk/obec/buglovce"
"obec@bukova.sk","Bukova","","https://www.taxinearme.sk/obec/bukova"
"obecbukovce@gmail.com","Bukovce","Stropkov","https://www.taxinearme.sk/obec/bukovce"
"ocu@bukovec.sk","Bukovec","Košice-okolie","https://www.taxinearme.sk/obec/bukovec-kosice-okolie"
"podatelna@bukovec.eu","Bukovec myjava","","https://www.taxinearme.sk/obec/bukovec-myjava"
"bukovina@gmail.com","Bukovina","Liptovský Mikuláš","https://www.taxinearme.sk/obec/bukovina"
"bulhary@hotmail.com","Bulhary","Lučenec","https://www.taxinearme.sk/obec/bulhary"
"obecbunetice@centrum.sk","Bunetice","Košice-okolie","https://www.taxinearme.sk/obec/bunetice"
"obec@bunkovce.sk","Bunkovce","Sobrance","https://www.taxinearme.sk/obec/bunkovce"
"oubusince@gonet.sk","Busince","","https://www.taxinearme.sk/obec/busince"
"obec.busovce@neton.sk","Busovce","","https://www.taxinearme.sk/obec/busovce"
"buzica@obecbuzica.sk","Buzica","Košice-okolie","https://www.taxinearme.sk/obec/buzica"
"obecbuzitka@gmail.com","Buzitka","Lučenec","https://www.taxinearme.sk/obec/buzitka"
"bystra@bystra.sk","Bystra","","https://www.taxinearme.sk/obec/bystra"
"obecbystrany@gmail.com","Bystrany","Spišská Nová Ves","https://www.taxinearme.sk/obec/bystrany"
"ocu.bystre@slovanet.sk","Bystre","","https://www.taxinearme.sk/obec/bystre"
"obec@bystricany.sk","Bystricany","","https://www.taxinearme.sk/obec/bystricany"
"bystricka@bystricka.sk","Bystricka","","https://www.taxinearme.sk/obec/bystricka"
"obecbysta@centrum.sk","Bysta","","https://www.taxinearme.sk/obec/bysta"
"primator@bytca.sk","Bytca","","https://www.taxinearme.sk/obec/bytca"
"bzenica@bzenica.sk","Bzenica","Žiar nad Hronom","https://www.taxinearme.sk/obec/bzenica"
"bzenov@onlinenet.sk","Bzenov","Prešov","https://www.taxinearme.sk/obec/bzenov"
"starosta@obecbzince.sk","Bzincepodjavorinou","","https://www.taxinearme.sk/obec/bzincepodjavorinou"
"info@bziny.eu","Bziny","Dolný Kubín","https://www.taxinearme.sk/obec/bziny"
"obecnyuradbzovik@gmail.com","Bzovik","","https://www.taxinearme.sk/obec/bzovik"
"info@bzovskalehotka.sk","Bzovskalehotka","","https://www.taxinearme.sk/obec/bzovskalehotka"
"obecbzany@gmail.com","Bzany","","https://www.taxinearme.sk/obec/bzany"
"obec@cabajcapor.sk","Cabajcapor","","https://www.taxinearme.sk/obec/cabajcapor"
"cakov@gemernet.sk","Cakov","Rimavská Sobota","https://www.taxinearme.sk/obec/cakov"
"obec.cejkov1@gmail.com","Cejkov","Trebišov","https://www.taxinearme.sk/obec/cejkov"
"cerninask@gmail.com","Cernina svidnik","","https://www.taxinearme.sk/obec/cernina-svidnik"
"cerova@obeccerova.sk","Cerova","","https://www.taxinearme.sk/obec/cerova"
"cerovo3@gmail.com","Cerovo","Krupina","https://www.taxinearme.sk/obec/cerovo"
"cestice89@gmail.com","Cestice","Košice-okolie","https://www.taxinearme.sk/obec/cestice"
"cifer@cifer.sk","Cifer","","https://www.taxinearme.sk/obec/cifer"
"podatelna@cigel.sk","Cigel","","https://www.taxinearme.sk/obec/cigel"
"obeccigelka@gmail.com","Cigelka","","https://www.taxinearme.sk/obec/cigelka"
"obeccigla@gmail.com","Cigla","Svidník","https://www.taxinearme.sk/obec/cigla"
"obeccimenna@gmail.com","Cimenna","","https://www.taxinearme.sk/obec/cimenna"
"ocucinobana@cinobana.sk","Cinobana","","https://www.taxinearme.sk/obec/cinobana"
"info@obeccab.sk","Cab","","https://www.taxinearme.sk/obec/cab"
"obeccabalovce@centrum.sk","Cabalovce","","https://www.taxinearme.sk/obec/cabalovce"
"sekretariat@cabiny.sk","Cabiny","","https://www.taxinearme.sk/obec/cabiny"
"obec@cabradskyvrbovok.sk","Cabradskyvrbovok","","https://www.taxinearme.sk/obec/cabradskyvrbovok"
"sekretariat@mestocadca.sk","Cadca","","https://www.taxinearme.sk/obec/cadca"
"obec@cachtice.sk","Cachtice","","https://www.taxinearme.sk/obec/cachtice"
"info@obec-cajkov.sk","Cajkov","","https://www.taxinearme.sk/obec/cajkov"
"caka@caka.eu","Caka","","https://www.taxinearme.sk/obec/caka"
"info@cakajovce.sk","Cakajovce","","https://www.taxinearme.sk/obec/cakajovce"
"obeccakanovce@obeccakanovce.sk","Cakanovce","","https://www.taxinearme.sk/obec/cakanovce"
"obec@cakanovce.eu","Cakanovce kosice","","https://www.taxinearme.sk/obec/cakanovce-kosice"
"podatelna@ocu.cakany.sk","Cakany","","https://www.taxinearme.sk/obec/cakany"
"ocu.caklov@gmail.com","Caklov","","https://www.taxinearme.sk/obec/caklov"
"ocucalovec@gutanet.sk","Calovec","","https://www.taxinearme.sk/obec/calovec"
"camovce@gmail.com","Camovce","","https://www.taxinearme.sk/obec/camovce"
"obeccana@centrum.sk","Cana","","https://www.taxinearme.sk/obec/cana"
"obeccaradice@caradice.sk","Caradice","","https://www.taxinearme.sk/obec/caradice"
"info@cary.sk","Cary","","https://www.taxinearme.sk/obec/cary"
"podatelna@casta.sk","Casta","","https://www.taxinearme.sk/obec/casta"
"obeccastkov@centrum.sk","Castkov","","https://www.taxinearme.sk/obec/castkov"
"obec@castkovce.eu","Castkovce","","https://www.taxinearme.sk/obec/castkovce"
"cata@nextra.sk","Cata","","https://www.taxinearme.sk/obec/cata"
"starosta@cataj.sk","Cataj","","https://www.taxinearme.sk/obec/cataj"
"obec.cavoj@centrum.sk","Cavoj","","https://www.taxinearme.sk/obec/cavoj"
"obec@cebovce.sk","Cebovce","","https://www.taxinearme.sk/obec/cebovce"
"cecehov@cecehov.sk","Cecehov","","https://www.taxinearme.sk/obec/cecehov"
"obec@cecejovce.sk","Cecejovce","","https://www.taxinearme.sk/obec/cecejovce"
